0.25,	943
0.25,	1195
0.247,	183
0.245,	765
0.245,	820
0.245,	873
0.241,	354
0.24,	592
0.24,	631
0.24,	654
0.24,	864
0.24,	1157
0.237,	1057
0.235,	412
0.23,	493
0.23,	709
0.225,	290
0.225,	814
0.225,	1095
0.22,	245
0.22,	575
0.22,	617
0.22,	741
0.22,	886
0.22,	950
0.215,	215
0.215,	251
0.215,	1406
0.21,	885
0.21,	1284
0.21,	1309
0.205,	314
0.205,	612
0.205,	767
0.205,	1089
0.2,	586
0.2,	716
0.2,	750
0.2,	1039
0.2,	1099
0.2,	1103
0.2,	1113
0.2,	1873
0.2,	2028
